id;goods_id;spu;sku;ctime;spu_lastuptime;sku_lastuptime
1;37454;Directives application Home Loan Account;Dam;Practical Fresh Pants;Metal deposit;Producer
2;83244;red Chips Soap;Home Loan Account;web-readiness;Namibia;Steel zero administration
3;36636;Common;Savings Account syndicate Planner;Refined Rubber Chicken Table;Automotive;Planner cross-platform access
4;9767;Nakfa;Bahamian Dollar Investment Account;Games Regional Digitized;copy convergence;Mayotte
5;18485;Facilitator;Views e-enable Communications;National Awesome sky blue;Tactics;scale interactive generating
6;35675;mission-critical Faroe Islands Plastic;Car Industrial deliverables;orange Books;magenta monitor 1080p;Unbranded Plastic Tuna Frozen
7;86310;Investment Account archive Fantastic Plastic Chicken;payment;withdrawal COM;embrace Developer;synthesize Idaho compress
8;49379;Poland;Small partnerships;Outdoors;Harbor Montana;Corporate Phased relationships
9;75555;User-centric;Money Market Account;Salad Web virtual;Refined Squares;maroon
10;89255;Ghana back-end National;Direct;Profit-focused;Jewelery cutting-edge;Games
