id;goods_id;skuid;sku_content;unit_price;stock;stocks;code;icon
1;37454;Directives application Home Loan Account;Dam;9997;5808;45924;seamless Metal deposit;Producer
2;83244;red Chips Soap;Home Loan Account;706;43194;2306;Namibia;Steel zero administration
3;36636;Common;Savings Account syndicate Planner;46676;4645;85994;Yuan Renminbi Centers;Factors
4;96563;cross-platform access;Public-key;24102;44015;68326;Investment Account;Games Regional Digitized
5;66252;hardware Costa Rica Mayotte;Industrial;84228;77513;44975;e-enable Communications capacitor;Awesome
6;19598;Tasty Plastic Pizza scale;South Georgia and the South Sandwich Islands;58675;35675;96525;Home Loan Account;Plastic
7;80219;Small;deliverables reinvent 24 hour;1407;81546;19884;monitor 1080p Checking Account;world-class Frozen IB
8;62329;archive Fantastic Plastic Chicken;payment;59129;63755;27472;Mississippi embrace Developer;synthesize Idaho compress
9;49379;Poland;Small partnerships;20171;3142;89576;Harbor Montana;Corporate Phased relationships
10;75555;User-centric;Money Market Account;69478;16122;88046;Auto Loan Account modular Refined;digital maroon
