id;commodityid;introducetype;content;jhi_order;creator;createdate;modifier;modifierdate;modifiernum;logicdelete;other
1;Cotton relationships;Chief web-enabled interactive;District Idaho Grocery;Concrete Towels Avon;Automotive frame;Indiana deposit Electronics;Bedfordshire Strategist;Towels applications;8534;true;Hat matrices application
2;index indigo;sticky Expressway Checking Account;Street New Jersey;reciprocal;Mountain Malaysia supply-chains;Borders hack;Pants;Tasty navigate didactic;89743;true;schemas Industrial
3;calculating;withdrawal Toys white;olive;Kids Incredible;Florida THX Idaho;Licensed Visionary pixel;neural Markets Branding;maroon;29314;false;Small deposit microchip
4;Music Salad North Carolina;circuit Forward;frictionless solution-oriented;distributed Computers;Money Market Account users Guinea;SQL lavender;transmit Wooden COM;Agent Squares;18210;false;Beauty optimal
5;Philippine Peso incentivize;Metal;methodologies Granite Corporate;needs-based Sports Global;generating;actuating India;Buckinghamshire microchip;Games;13688;false;system-worthy pixel Phased
6;withdrawal Towels;navigating seize generate;Fantastic Wooden Chips microchip;Generic;Business-focused generate grid-enabled;International card;West Virginia Keys;Factors Soft;48375;false;Beauty
7;Soap;Refined Granite Sausages Savings Account extensible;Course robust bricks-and-clicks;Buckinghamshire Nepalese Rupee;Forge Licensed;auxiliary;Engineer Toys Fantastic;Licensed;91731;true;mobile
8;Mount Computer Uzbekistan;input invoice calculate;Philippine Peso parsing Triple-buffered;deposit Rand Namibia Dollar;Branding;Handcrafted Rubber Sausages;Towels Mississippi Product;Metal;73102;false;Direct
9;experiences online program;indexing;South Georgia and the South Sandwich Islands;Baby Money Market Account;Connecticut;Unbranded Tugrik;models streamline;projection Maldives;79072;true;alarm
10;ADP Personal Loan Account;web-readiness;JBOD Books;sky blue matrix Data;Supervisor;Licensed Steel Shirt Sleek Granite Tuna;AGP Coordinator;Practical killer Russian Federation;73227;false;Practical
