id;ordernum;state;userid;commodityid;specificationsid;num;paymethod;payresult;creator;createdate;modifier;modifierdate;modifiernum;logicdelete;other
1;Web;circuit;Personal Loan Account;Generic Granite Gloves capacitor;Assurance Auto Loan Account cross-platform;indexing Handcrafted;Malta Auto Loan Account online;deposit Central African Republic;markets protocol Savings Account;Shoes HDD;utilisation;out-of-the-box Pizza;78969;false;Sleek Wooden Towels Clothing
2;Fundamental Designer;Borders Intelligent whiteboard;Practical Steel Mouse;indexing;XSS;mindshare navigating Money Market Account;drive Analyst Awesome Fresh Hat;Michigan Clothing;Borders HDD;redundant withdrawal Planner;National;benchmark;46581;true;program Soft interface
3;Savings Account deposit redefine;Shirt SDD;communities Refined;Pike Borders;payment Rustic;envisioneer Coordinator;SMTP;matrices;Savings Account redefine Multi-channelled;Team-oriented;initiatives;Jordan;33700;true;Cotton Forge New Mexico
4;port Pants Shirt;Credit Card Account;payment Spur;transmitter Passage SCSI;sky blue Steel;Associate;Denmark;Small Metal Computer Multi-channelled Sausages;artificial intelligence;Arizona Congolese Franc;Architect Developer;Automotive;32313;true;COM Fork Borders
5;open-source Burundi;Music;Metal;lime Chilean Peso Unidades de fomento Officer;feed;communities;Officer Quality-focused invoice;Identity Lek Bedfordshire;transmitting COM;Music Data East Caribbean Dollar;Savings Account Branding navigating;payment Incredible deposit;99941;true;utilisation
6;recontextualize USB primary;optimal Refined;unleash system engine;schemas Legacy SAS;metrics;embrace intranet deposit;migration;Investment Account Ohio;deliver Pine;Haiti;Advanced Awesome Rubber Mouse;payment connect Berkshire;54236;true;Suriname Unions Jewelery
7;Fantastic Shirt;Illinois Kyrgyz Republic;unleash Slovenia;monitor Operations Sports;synergies;deposit Principal Profound;streamline azure Inlet;Rustic;Money Market Account Fiji;system engine haptic Moldova;Generic;interface zero administration networks;12188;true;Metal
8;Bacon Cocos (Keeling) Islands card;multi-byte;Universal;supply-chains Licensed connecting;Sleek Rubber Computer Solutions;invoice Cambridgeshire;Secured olive;Shirt next-generation;Legacy efficient Exclusive;definition transmitter navigating;Trinidad and Tobago Dollar Licensed Savings Account;interfaces Mouse;23523;true;RSS sky blue Intelligent
9;model;Savings Account;deposit Integrated;Checking Account Avon;bi-directional Credit Card Account Kenyan Shilling;content monitor;Industrial innovative bypassing;array Virginia;bypass;Generic;Savings Account monetize one-to-one;extensible Practical Granite Bacon;6761;true;Intelligent Metal Hat system-worthy Credit Card Account
10;Denmark hub collaboration;Tasty Cotton Tuna efficient Producer;Hill Awesome Rubber Computer;Directives payment override;Indonesia;content;back up B2C invoice;Via enhance Cotton;Chair Producer Accounts;Switchable Kyat;Money Market Account;1080p;86468;false;connecting back-end
