id;specificationsid;fileid;other;jhi_type;state;creator;createdate;modifier;modifierdate;modifiernum;viewplace;path;logicdelete
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;Tasty Metal Bacon;red Chips Soap;Home Loan Account;web-readiness;Namibia;39986;Gorgeous Frozen Pants;Common;true
2;grey Cambridgeshire;Canyon HDD;Table Small Frozen Sausages Planner;envisioneer Music Public-key;infomediaries;Investment Account;Games Regional Digitized;copy convergence;Mayotte;18485;Facilitator;Views e-enable Communications;true
3;archive Georgia Aruba;software scale interactive;Louisiana Specialist Home Loan Account;Plastic;Car Industrial deliverables;orange Books;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;generating Highway Ergonomic;37081;Lempira;pixel withdrawal;true
4;Junction Frozen;synthesizing hard drive Robust;Avon;system Small;Intelligent Outdoors;Harbor Montana;Corporate Phased relationships;white Brand Money Market Account;Salad Web virtual;63340;RSS;mint green e-business EXE;false
5;Fresh granular Direct;Profit-focused;Jewelery cutting-edge;Games;Iraq Bedfordshire;Concrete 24/7 Directives;sky blue;Kenyan Shilling robust;Versatile Exclusive Moroccan Dirham;71227;Plastic;Computers Personal Loan Account Berkshire;false
6;encompassing;deposit Canadian Dollar Lebanon;Designer Persistent;Handmade 24/7 Re-contextualized;web-enabled invoice withdrawal;bypassing optical;installation;Argentine Peso;Kentucky Algerian Dinar Clothing;51209;Future-proofed deposit Sausages;disintermediate Cambridgeshire hacking;true
7;bandwidth azure;SMS Enhanced;Bacon Designer;Equatorial Guinea Vision-oriented;Agent;Human deposit;even-keeled Saint Helena Pound;Internal AI optical;bypassing Marketing;78534;New Zealand Dollar Alabama transform;invoice Home Gloves;true
8;Cayman Islands Dollar invoice;Fish;Networked;Fish;payment calculating;local area network Benin;turn-key dedicated;Wisconsin;target Human withdrawal;79481;Borders North Dakota;CSS Re-contextualized;false
9;Alaska;deposit Chips Applications;uniform PCI back up;Tactics architectures Planner;Facilitator Incredible functionalities;compressing;Bedfordshire;Maryland Configuration;Intranet Ergonomic Concrete Soap Zambian Kwacha;35864;Open-architected;FTP;true
10;Belize Dollar Sudanese Pound real-time;protocol;open-source HDD;Sleek Beauty Auto Loan Account;deposit;extend Unbranded Fresh Pants Tools;Practical North Dakota;implementation;Wallis and Futuna;28654;Utah Computers Small Fresh Gloves;Brunei Darussalam interface;true
